id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
345,"United States",Seattle,"North America","Seattle Internet Exchange",https://www.seattleix.net/,Active,19970620,1553848,47.61000,-122.33000,350,3052400000,2200000000,1730000000,0.000000,Yes,2022-02-28,4,64,3,3,29,4,https://www.seattleix.net/participants/,Yes,SEA,157
350,"United States","St. Louis","North America","MidWest-IX - St. Louis",https://www.midwest-ix.com/locations/stlouis/index.html,Active,20170119,736785,38.58000,-90.20000,16,5300000,0,0,0.000000,Yes,0000-00-00,54,500,68,83,517,67,https://www.midwest-ix.com/locations/stlouis/index.html,Yes,STL,157
361,"Viet Nam","Da Nang",Asia-Pacific,"Vietnam National Internet Exchange",https://www.vnnic.vn/en/dns-vnix/about-vnix-system,Active,20050700,0,16.04708,108.20623,2,0,0,0,0.000000,No,0000-00-00,1,649,3,182,866,130,https://www.vnnic.vn/en/dns-vnix/vnix-member-isp,No,,190
362,"Viet Nam",Hanoi,Asia-Pacific,"Vietnam National Internet Exchange",https://www.vnnic.vn/en/dns-vnix/about-vnix-system,Active,20031108,0,21.03000,105.85000,12,0,0,0,0.000000,No,0000-00-00,1,649,2,137,603,130,https://www.vnnic.vn/en/dns-vnix/vnix-member-isp,No,,190
363,"Viet Nam","Ho Chi Minh",Asia-Pacific,"Vietnam National Internet Exchange",https://www.vnnic.vn/en/dns-vnix/about-vnix-system,Active,20040300,0,10.76262,106.66017,16,0,0,0,0.000000,No,0000-00-00,1,649,1,119,517,130,https://www.vnnic.vn/en/dns-vnix/vnix-member-isp,No,,190
369,"United States","San Francisco","North America","San Francisco Metropolitan Internet Exchange",https://www.sfmix.org/,Active,20060500,764943,37.78000,-122.43000,106,100000000,0,25000000,0.000000,Yes,2022-02-28,37,313,17,20,151,45,https://www.sfmix.org/participants,Yes,SFO,157
373,"United States","Los Angeles","North America","Any2 California",https://www.coresite.com/,Active,20051200,1606239,33.97000,-118.25000,323,0,0,0,0.000000,Yes,2009-06-22,41,340,1,1,21,50,https://www.coresite.com/solutions/interconnection/peering-exchanges/any2-internet-peering-exchange/any2-peering-participants,Yes,SNA,157
415,Brazil,"Rio de Janeiro","Latin America","IX.br (PTT.br) Rio de Janeiro",https://ix.br,Active,20040000,0,-22.90000,-43.17000,737,3450000000,2680000000,2000000000,0.000000,No,2022-02-28,3,59,3,3,10,30,https://ix.br/particip/rj,No,,143
464,Singapore,Singapore,Asia-Pacific,"Equinix Internet Exchange Singapore",https://ix.equinix.com/home/,Active,20040426,3121046,1.37000,103.98000,490,9716732563,9685332958,9634835884,0.000000,Yes,2026-08-25,1,11,1,4,18,6,https://ix.equinix.com/home/locations-and-traffic/#traffic,Yes,SIN,190
467,"United States","Los Angeles","North America","Equinix Los Angeles IBX",http://www.equinix.com/,Active,20020711,1107157,33.97000,-118.25000,72,0,0,0,0.000000,Yes,0000-00-00,78,649,30,36,209,96,,Yes,BUR,157
479,"Democratic Republic of Congo",Kinshasa,Africa,"Kinshasa Internet Exchange",http://www.ispa-drc.cd/index.php?option=com_content&view=article&id=10&Itemid=14,Active,20121101,1897,-4.38000,15.43000,18,220880000,146070000,30000000,0.000000,Yes,2022-02-28,1,247,1,29,485,17,http://www.ispa-drc.cd/index.php?option=com_content&view=article&id=23&Itemid=25,Yes,FIH,67
506,Italy,Florence,Europe,"Tuscany Internet Exchange",https://www.tix.it/en/web/guest/home,Active,20030000,0,43.80000,11.20000,33,394000,117000,230000,0.000000,No,2017-10-31,9,589,7,154,353,224,https://www.tix.it/en/elencoisp,No,,337
509,Poland,Warsaw,Europe,"Equinix Internet Exchange Warsaw",https://ix.equinix.com/home/,Active,20060402,1002181,52.23000,21.00000,298,1820000000,56300000,0,0.000000,Yes,2026-08-25,4,95,4,21,38,27,https://ix.equinix.com/home/locations-and-traffic/#traffic,Yes,WAW,337
516,Russia,Krasnoyarsk,Europe,"Krasnoyarsk Internet Exchange",http://www.krs-ix.ru/en,Active,20060000,0,56.17000,92.50000,25,148000000,110000000,96000000,0.000000,No,2022-02-28,10,283,24,172,408,101,http://www.red-ix.ru/members/,No,,337
539,Philippines,Manila,Asia-Pacific,"Philippine Open Internet Exchange",http://phopenix.net/,Active,20070000,725560,14.58000,120.95000,60,51400000,43800000,20000000,0.000000,Yes,2022-02-28,4,353,2,66,247,87,http://phopenix.net/members/,Yes,MNL,190
556,Germany,Frankfurt,Europe,"KleyReX Internet Exchange",http://www.kleyrex.net/,Active,20020900,0,50.12000,8.68000,466,15968548,3439787,1331954,49.986210,No,2026-08-25,19,434,2,11,19,152,https://kleyrex.net/en/participants/,No,,337
559,Estonia,Tallinn,Europe,"Tallinn Internet Exchange (TLLIX)",https://www.citictel-cpc.com/EN/HK/Pages/product-services/tallinn-internet-exchange,Active,20051100,0,59.35000,24.80000,6,2200000,231000,231000,0.000000,No,2018-02-27,3,535,4,296,756,201,,No,,337
572,Netherlands,Amsterdam,Europe,"Neutral Internet Exchange",https://www.nl-ix.net/,Active,20020301,1692102,52.30000,4.77000,666,10390000000,6820000000,2300000000,0.000000,Yes,2022-02-28,3,10,3,6,12,3,https://www.nl-ix.net/network/connected-networks/,Yes,AMS,337
574,Slovakia,Bratislava,Europe,"NIX.SK - exSitelIX",https://www.nix.sk/sk,Active,20050801,0,48.20000,17.20000,53,0,0,14000000,0.000000,No,2020-11-19,3,649,2,117,268,240,https://www.nix.sk/en/networks,No,,337
592,"United States",Honolulu,"North America",DRFxchange,https://www.drfortress.com/services/internet-exchange/drfxchange/,Active,20070108,0,21.30000,-157.83000,13,0,0,0,0.000000,No,0000-00-00,78,649,75,92,578,96,https://www.drfortress.com/services/internet-exchange/peering-and-connectivity/,No,,157
601,Malaysia,"Kuala Lumpur",Asia-Pacific,"Malaysia Internet Exchange",http://www.myix.my/,Active,20061215,1081744,3.13000,101.70000,185,249000000,0,0,0.000000,Yes,0000-00-00,1,234,1,20,87,53,https://ixp.myix.my/customer/details,Yes,KUL,190
